char	desc	sceneNum	sceneMarker
(as she descends)	brenda		scene
(phoney, pained)	mike		scene
(talks with the toothbrush in his mouth)	jim		scene
(to herself)	ginny		scene
(to Jim)	ginny		scene
(with a chuckle)	mike		scene
(raises an eyebrow)	mike		scene
(matter-of- factly)	mike		scene
(shouts)	mike		scene
(drops the hair)	sam		scene
(to the phone)	sam		scene
(pause, still looking in the mirror)	sam		scene
(with a closing sigh)	sam		scene
(bright, cheerful)	sam		scene
(to herself)	ginny		scene
(to herself, sarcastically)	sam		scene
	brenda		scene
(to Jim)	brenda		scene
(yells up the stairs)	brenda		scene
(to Brenda)	mike		scene
(yells)	mike		scene
(to Sam)	brenda		scene
(to Sam)	brenda		scene
(to Jim)	brenda		scene
(corrects him)	brenda		scene
(to Sam)	jim		scene
(kisses Sam's cheek)	brenda		scene
(laughs)	mike		scene
(weary)	brenda		scene
(to herself, incredulous)	sam		scene
(devastated)	sam		scene
(hesitant)	sam		scene
(incredulous)	randy		scene
(hurt)	sam		scene
(agrees)	sam		scene
(cautiously)	jake		scene
(takes offense)	jake		scene
(puzzled)	rock		scene
(frustrated)	jake		scene
(sighs)	jake		scene
(worried)	rock		scene
(with an exagerrated sigh)	sam		scene
(phoney)	ginny		scene
(annoyed)	sam		scene
(raises an eyebrow)	geek		scene
(phoney)	ginny		scene
(to herself)	sam		scene
(forces a smile)	sam		scene
(unenthusiastic)	sam		scene
(weary of the hoary old joke)	sam		scene
(clicks her tongue)	helen		scene
(to Fred)	helen		scene
(thick accent)	dong		scene
(angry)	brenda		scene
(to Sam)	brenda		scene
(hinting again)	sam		scene
(disappointed)	sam		scene
(suspicious)	sam		scene
(with sadistic glee)	mike		scene
(kidding)	sam		scene
(timidly)	sam		scene
(offended)	sam		scene
(pause)	ginny		scene
(sheepishly)	sam		scene
(puzzled)	dong		scene
(to Sam)	dorothy		scene
(cloying)	dong		scene
(disappointed)	helen		scene
(bullshitting)	sam		scene
(to Dong, excited)	dorothy		scene
(holds up three fingers)	dong		scene
(suspicious)	sam		scene
(lecherous)	dong		scene
(proud, cool)	geek		scene
(looks at the Geek, incredulous)	bryce		scene
(cool and confident)	geek		scene
(looking over his shoulder to DJ)	geek		scene
(with a laugh)	cliff		scene
(impatient with Geek's jive)	jake		scene
(mischievously)	caroline		scene
(pleasant)	caroline		scene
(clears her throat)	sam		scene
(introduces Randy)	sam		scene
(introduces the Geek)	sam		scene
(to Sam, with his eye on his buddies across the gym)	geek		scene
(to Randy and Jimmy)	sam		scene
(concerned)	geek		scene
(second thoughts)	sam		scene
(nervously)	geek		scene
(dead serious)	geek		scene
(laughs)	geek		scene
(crosses his heart)	geek		scene
(repulsed)	sam		scene
(misunderstands her)	geek		scene
(hopeful)	geek		scene
(laughs at herself)	sam		scene
(surprised)	geek		scene
(to herself)	sam		scene
(to the Geek)	sam		scene
(impatient)	sam		scene
(scared)	geek		scene
(suspicous)	sam		scene
(choked, cracking voice)	geek		scene
(not paying attention)	jake		scene
(snuggles him)	caroline		scene
(kisses his neck)	caroline		scene
(suspicious)	caroline		scene
(voice cracks)	jake		scene
(nervous chuckles)	jake		scene
(cold and serious)	caroline		scene
(sweet and conciliatory)	caroline		scene
(chirpy, cheerful)	sam		scene
(sultry)	sam		scene
(straight- forward)	sam		scene
(another try)	sam		scene
(a final ploy)	sam		scene
(incredulous)	jake		scene
(sighs)	jake		scene
(forces a smile)	sam		scene
(embarrassed)	lumberjack		scene
(stunned monotone)	sam		scene
(sniffles)	sam		scene
(changing the subject)	jim		scene
(jerks her thumb to Ginny)	irene		scene
(to Ginny)	rudy		scene
(drunk)	caroline		scene
(sees the bubbles)	caroline		scene
(to the phone)	jake		scene
(repeats after the operator)	jake		scene
(looks at Howard)	dorothy		scene
(sadly)	sam		scene
(fast)	megan		scene
(fast)	megan		scene
(flattered)	geek		scene
(hands him a beer)	rock		scene
(angry)	jake		scene
(stoned; drunk)	dong		scene
(whispers)	jim		scene
(shakes his head)	jim		scene
(pause)	jim		scene
(puzzled)	jake		scene
(matter-of- factly)	jake		scene
(serious)	geek		scene
